uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type,duration
REVBOLT_00021243,REVOS,REVOS,samosa chowk madanpur khader jj clony,28.53261502169575,77.3114025592804,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919599877835""]",charging,110076,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00020362,REVOS,REVOS,dwarka morh rwa,28.61896028934973,77.03536972403525,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919315448064""]",charging,110059,west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022301,REVOS,REVOS,shop no 4 i block main tanki road,28.50037808729111,77.3218360170722,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+917043276583""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00019771,REVOS,REVOS,shop no 4 I block main tanki road near kaniska garden ,28.50039664994604,77.3217961192131,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+917043276583""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00016141,REVOS,REVOS,41 foota road budha bazar near kamalpur delhi 110084,28.74714903966596,77.19631098210812,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+917836879626""]",charging,110084,north-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021936,REVOS,REVOS,41 foota road budha bazar near kamalpur delhi ,28.74718784153066,77.19631969928743,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+917836879626""]",charging,110084,north-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021919,REVOS,REVOS,G-403 Near Neem Chowk Sangam Vihar,28.49739564499431,77.24073037505148,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+917827472414""]",charging,110080,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00016218,REVOS,REVOS,G-442 Sangam Vihar,28.49724301428326,77.24072098731995,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+917827472414""]",charging,110080,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022323,REVOS,REVOS,"KLJ HOUSE, 8A, SHIVAJI MARG, MOTI NAGAR",28.66237316050159,77.15186275541782,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919910591555""]",charging,110015,west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022332,REVOS,REVOS,"KLJ house, 8A, Shivaji Marg, motinagar",28.66245053292715,77.15187482535839,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919910591555""]",charging,110015,west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
